id;fee;tags;amount;source;balance;created;senderId;externalId;receiverId;description
"26287996435605532930420671953032";"50";"";"-19046";"transfer/4773507274637312";"148";"2024-08-13T09:09:14.264158+00:00";"5455711234424832";"1720819084942x548022980809882430";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"92804150766843598485625818071516";"200";"invoice|invoice #1234";"19444";"boleto/5363117787709440";"19244";"2024-08-13T08:40:27.501046+00:00";"starkbank";"Ym9sZXRvLzUzNjMxMTc3ODc3MDk0NDA=";"5455711234424832";"Boleto pago em nome de Keity Mateus"
"30102967264980001545831946468848";"50";"";"-32935";"transfer/6369990633586688";"148";"2024-09-10T09:10:59.221556+00:00";"5455711234424832";"1724183325983x861023856763523600";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"18152044339337840309725128498398";"200";"invoice|invoice #1234";"33333";"boleto/6440452016308224";"33133";"2024-09-10T08:41:13.206977+00:00";"starkbank";"Ym9sZXRvLzY0NDA0NTIwMTYzMDgyMjQ=";"5455711234424832";"Boleto pago em nome de Keity Mateus"
"14384618306426419616932620083667";"148";"fee";"0";"boleto-issuing";"0";"2024-08-31T14:59:15.928881+00:00";"5455711234424832";"5455711234424832/boleto/2024-08/148";"starkbank";"Tarifa por 43 Boletos(s) processado(s) de 31/07/2024 a 30/08/2024"
"70968230632075931613417829631501";"50";"";"-19046";"transfer/6544420663984128";"444";"2024-09-11T08:38:21.277262+00:00";"5455711234424832";"1720819097403x162771644990950430";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"81555065622107870242793304886061";"50";"";"-21592";"transfer/6455545576816640";"19540";"2024-09-11T08:37:19.269173+00:00";"5455711234424832";"1722964535401x722156936033213800";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"46711710131145040519213117371833";"200";"invoice|invoice #1234";"19444";"boleto/5987040103497728";"41182";"2024-09-11T08:31:33.004358+00:00";"starkbank";"Ym9sZXRvLzU5ODcwNDAxMDM0OTc3Mjg=";"5455711234424832";"Boleto pago em nome de Keity Mateus"
"91845741364656020950822733178946";"200";"invoice|invoice #1234";"21990";"boleto/5066933151989760";"21938";"2024-09-11T08:31:07.821074+00:00";"starkbank";"Ym9sZXRvLzUwNjY5MzMxNTE5ODk3NjA=";"5455711234424832";"Boleto pago em nome de Keity Mateus"
"30102967264980001545831946468848";"50";"";"-32935";"transfer/6369990633586688";"148";"2024-09-10T09:10:59.221556+00:00";"5455711234424832";"1724183325983x861023856763523600";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"18152044339337840309725128498398";"200";"invoice|invoice #1234";"33333";"boleto/6440452016308224";"33133";"2024-09-10T08:41:13.206977+00:00";"starkbank";"Ym9sZXRvLzY0NDA0NTIwMTYzMDgyMjQ=";"5455711234424832";"Boleto pago em nome de Keity Mateus"
"76136775521186727788691395109634";"50";"";"-21592";"transfer/6664446226202624";"1238";"2024-10-09T08:38:36.573003+00:00";"5455711234424832";"1722964548151x912393185970626400";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
"63625125801826670292439921833856";"50";"";"-15435";"transfer/5695001777405952";"22880";"2024-10-09T08:37:20.373498+00:00";"5455711234424832";"1727439947747x149419597450695780";"starkbank";"Moon Centro Odontológico e Estético (37.472.312/0001-08)"
